scenario,opex,capex,gamma_sc,gamma_ss,gamma_ch,co2
cost1,29.091016627106036,11.369605736352424,0.76,0.33,0.0,53.876442012509635
cost2,19.17087736117823,20.3287520937183,0.97,0.14,0.44,33.39766412727851
cost3,14.191233960116104,20.98378927840926,0.77,0.23,0.86,30.403160644570985
