year,cost1,cost2,cost3
0,0.0,0.0,0.0
0,1.5266,2.5465999999999998,2.5803499999999997
1,1.8343172816411655,2.794026753656866,2.810844171041726
1,1.8343172816411655,2.794026753656866,2.810844171041726
2,2.1273813593946564,3.0296712809491195,3.0303624291767033
2,2.1273813593946564,3.0296712809491195,3.0303624291767033
3,2.4064900048741715,3.254094640275075,3.239427436924301
3,2.4064900048741715,3.254094640275075,3.239427436924301
4,2.67230776247371,3.467831172966461,3.438536968112489
4,2.67230776247371,3.467831172966461,3.438536968112489
5,2.925467531616127,3.671389775529686,3.6281650930536204
5,2.925467531616127,3.671389775529686,3.6281650930536204
6,3.1665720736565244,3.8652551113041858,3.8087633072832694
6,4.285895168611466,5.730793602895754,5.674301798874838
7,4.515518541983273,5.9154272560143255,5.846300098141171
7,4.515518541983273,5.9154272560143255,5.846300098141171
8,4.734207469004041,6.091268830412965,6.010108002204344
8,4.734207469004041,6.104805617653539,6.023644789444918
9,4.9424826375952495,6.272273783747482,6.179652317124132
9,4.9424826375952495,6.272273783747482,6.179652317124132
10,5.1408399410154475,6.431767275265522,6.328230914913859
10,5.1408399410154475,6.431767275265522,6.328230914913859
11,5.329751658558493,6.583665838616037,6.469734341380265
11,5.329751658558493,6.583665838616037,6.469734341380265
12,5.509667580028061,6.728331137045098,6.604499509443509
12,6.3449237072944,8.120424682488997,8.000351707460107
13,6.516272203932083,8.25820115718334,8.128699486567958
13,6.516272203932083,8.25820115718334,8.128699486567958
14,6.679461248348924,8.38941684736843,8.250935466670674
14,6.679461248348924,8.38941684736843,8.250935466670674
15,6.834879385888772,8.51438417135423,8.367350685816117
15,6.834879385888772,8.51438417135423,8.367350685816117
16,6.982896659736247,8.633400670388326,8.47822232309749
16,6.982896659736247,8.642562900828155,8.48738455353732
17,7.123865491971937,8.755911947527293,8.592976589043392
17,7.123865491971937,8.755911947527293,8.592976589043392
18,7.258121522672595,8.863863420574091,8.693540432382507
18,7.888881876761435,9.910144429530414,9.751040499020252
19,8.016744763143013,10.012955356241651,9.846815587914648
19,8.016744763143013,10.012955356241651,9.846815587914648
20,8.138518940649279,10.110870524538067,9.938029958290262
20,7.755599226050309,9.4729222598617,9.290188344688481
