year,cost1,cost2,cost3
0,0.0,0.0,0.0
0,1.9085999999999999,2.6486,3.1071999999999997
1,2.3449259466688432,2.983035805839031,3.2657311261727555
1,2.3449259466688432,2.983035805839031,3.2657311261727555
2,2.7604744673058366,3.3015460971142994,3.4167131510991897
2,2.7604744673058366,3.3015460971142994,3.4167131510991897
3,3.1562349631505926,3.6048892316621735,3.5605055557910315
3,3.1562349631505926,3.6048892316621735,3.5605055557910315
4,3.5331497210979785,3.8937874550411014,3.697450703116595
4,3.5331497210979785,3.8937874550411014,3.697450703116595
5,3.8921161572383465,4.16892862016389,3.8278746529504653
5,3.8921161572383465,4.16892862016389,3.8278746529504653
6,4.233988953562506,4.430967825042735,3.9520879385065317
6,5.6517982071720985,6.333817086466135,5.854937199929932
7,5.977391346528441,6.583378233969798,5.973235567126186
7,5.977391346528441,6.583378233969798,5.973235567126186
8,6.287480050677339,6.82105551730662,6.085900678741666
8,6.287480050677339,6.881971059889202,6.146816221324248
9,6.582802626057242,7.108330377352842,6.254116327624705
9,6.582802626057242,7.108330377352842,6.254116327624705
10,6.864062221657149,7.323910679699165,6.356306905053712
10,6.864062221657149,7.323910679699165,6.356306905053712
11,7.131928503180871,7.529225253362331,6.45363126450991
11,7.131928503180871,7.529225253362331,6.45363126450991
12,7.387039247489176,7.724762942565346,6.546321130658669
12,8.44503034202654,9.144698358918122,7.991314230829434
13,8.687992955653497,9.330924729587661,8.079590293828252
13,8.687992955653497,9.330924729587661,8.079590293828252
14,8.919385921012505,9.508283177844364,8.163662734779507
14,8.919385921012505,9.508283177844364,8.163662734779507
15,9.13976017373537,9.67719598570789,8.243731726161656
15,9.13976017373537,9.67719598570789,8.243731726161656
16,9.349640414423813,9.838065326530296,8.319987908430369
16,9.349640414423813,9.879295363509522,8.361217945409594
17,9.549526357936617,10.03250425953086,8.433842880903606
17,9.549526357936617,10.03250425953086,8.433842880903606
18,9.739893923186905,10.178417493836898,8.503009486135998
18,10.529383167435123,11.237995163748979,9.73087302126941
19,10.710685610530636,11.376960148802347,9.796745978633593
19,10.710685610530636,11.376960148802347,9.796745978633593
20,10.883354603954931,11.50930775361508,9.859482128504244
20,10.405961258982463,10.851635606001693,9.060476424813482
