scenario,opex,capex,gamma_sc,gamma_ss,gamma_ch,co2
cost1,4.026579364339162,3.7290198617111505,0.22193102484109795,0.44975700887861275,1.1,9.077005472152441
cost2,3.2376584608658714,6.235263798995826,0.9122106077319292,0.0648028785352496,0.6251085727876181,6.320351861311613
cost3,3.016090184363951,6.274098160324528,0.9346171049746068,0.1516544656073017,0.6861221920788158,6.06027076246332
