scenario,opex,capex,gamma_sc,gamma_ss,gamma_ch,co2
cost1,32,25,0.43,0.0,0.0,195
cost2,25,20,0.67,0.1835,0.20,99.46735
cost3,17,18,0.54,0.8264,0.18,30
