scenario,opex,capex,gamma_sc,gamma_ss,gamma_ch,co2
cost1,5.709465011559756,4.696496247422705,0.0,0.0,0.0,15.522479824124655
cost2,4.376199826365015,6.370324447937167,0.0,0.0,0.32,8.196247446276205
cost3,2.0744306522148572,6.880934440899112,0.61,0.48,0.98,5.850788845525586
